Rank,Player Name,Pos,Opp,$,AVG ADP,Trend,Points,YDS,YPC,Rush,REC,TD,YPR,Rec/Tar Game,QB Att/Game,QB YPC
94,Romeo Doubs,WR,DET,7,195,no change,9.1,50,0.0,N/A,4,N/A,12.6,4.0/0.0,0.0,0.0
95,Marvin Mims Jr.,WR,TEN,6,236,no change,8.0,47,0.0,N/A,3,N/A,13.8,3.4/0.0,0.0,0.0
96,Tucker Kraft,TE,DET,6,97,no change,9.4,53,0.0,N/A,4,N/A,13.1,4.0/0.0,0.0,0.0
97,Xavier Legette,WR,@JAX,6,171,no change,7.7,43,0.0,N/A,4,N/A,11.5,3.7/0.0,0.0,0.0
98,Tank Bigsby,RB,CAR,6,124,no change,7.8,48,4.1,10,1,N/A,6.1,1.0/0.0,0.0,0.0
99,Rashid Shaheed,WR,ARI,6,125,no change,9.2,57,6.0,1,4,N/A,13.1,4.1/0.0,0.0,0.0
100,Dallas Goedert,TE,DAL,6,132,no change,9.7,52,0.0,N/A,5,N/A,10.9,4.8/0.0,0.0,0.0
101,Wan'dale Robinson,WR,N/A,6,177,no change,8.2,45,0.0,N/A,4,N/A,10.3,4.4/0.0,0.0,0.0
102,Dylan Sampson,RB,CIN,6,153,no change,8.2,54,4.3,9,2,N/A,7.3,1.8/0.0,0.0,0.0
103,Rhamondre Stevenson,RB,LV,6,121,no change,7.5,45,4.0,9,1,N/A,7.7,1.3/0.0,0.0,0.0
104,Zach Charbonnet,RB,SF,6,94,no change,6.4,40,4.3,7,2,N/A,7.3,1.6/0.0,0.0,0.0
105,Jake Ferguson,TE,@PHI,6,127,no change,9.1,47,0.0,N/A,5,N/A,9.8,4.8/0.0,0.0,0.0
106,Nick Chubb,RB,@LAR,6,122,no change,7.7,45,4.2,9,1,N/A,7.6,1.1/0.0,0.0,0.0
107,Hunter Henry,TE,LV,6,161,no change,8.0,43,0.0,N/A,4,N/A,10.3,4.2/0.0,0.0,0.0
108,Braelon Allen,RB,PIT,6,120,no change,5.5,36,4.2,7,1,N/A,6.9,1.2/0.0,0.0,0.0
109,Joshua Palmer,WR,BAL,6,170,no change,7.5,41,0.0,N/A,3,N/A,12.0,3.4/0.0,0.0,0.0
110,Ollie Gordon II,RB,@IND,6,152,no change,5.7,35,4.2,7,1,N/A,6.5,1.1/0.0,0.0,0.0
111,Tyler Warren,TE,MIA,6,79,no change,8.2,46,5.6,1,4,N/A,11.1,3.7/0.0,0.0,0.0
112,Kyle Pitts,TE,N/A,6,145.8,no change,8.0,44,0.0,N/A,4,N/A,11.8,3.7/0.0,0.0,0.0
113,Dalton Kincaid,TE,BAL,6,118,no change,7.3,38,0.0,N/A,4,N/A,10.3,3.7/0.0,0.0,0.0
114,Zach Ertz,TE,NYG,6,163,no change,7.3,36,0.0,N/A,4,N/A,9.6,3.8/0.0,0.0,0.0
115,Trey Benson,RB,@NO,6,149,no change,5.7,35,4.3,7,1,N/A,6.3,1.0/0.0,0.0,0.0
116,Chris Rodriguez Jr.,RB,NYG,6,275,no change,7.6,47,4.4,9,1,N/A,7.0,0.8/0.0,0.0,0.0
117,Keon Coleman,WR,BAL,6,112,no change,7.5,43,0.0,N/A,3,N/A,14.9,2.9/0.0,0.0,0.0
118,Jayden Higgins,WR,@LAR,6,147,no change,5.9,36,0.0,N/A,3,N/A,12.7,2.8/0.0,0.0,0.0
119,Brenton Strange,TE,CAR,6,201,no change,7.5,41,0.0,N/A,4,N/A,10.4,3.9/0.0,0.0,0.0
120,Cade Otton,TE,@ATL,6,221,no change,7.5,39,0.0,N/A,4,N/A,10.0,3.9/0.0,0.0,0.0
121,Kaleb Johnson,RB,@NYJ,5,80,no change,8.0,50,4.2,10,1,N/A,7.6,1.3/0.0,0.0,0.0
122,Ray-Ray McCloud III,WR,TB,5,0,no change,7.3,41,0.0,N/A,4,N/A,10.4,3.9/0.0,0.0,0.0
123,Rashod Bateman,WR,@BUF,5,154,no change,8.2,49,0.0,N/A,3,N/A,14.7,3.3/0.0,0.0,0.0
124,Marquise Brown,WR,@LAC,5,166,no change,9.2,52,0.0,N/A,4,N/A,12.6,4.1/0.0,0.0,0.0
125,Ja'Tavion Sanders,TE,@JAX,5,248,no change,6.1,33,0.0,N/A,3,N/A,10.4,3.2/0.0,0.0,0.0
126,Colston Loveland,TE,MIN,5,105,no change,6.7,35,0.0,N/A,3,N/A,10.4,3.4/0.0,0.0,0.0
127,Jonnu Smith,TE,@NYJ,5,157,no change,7.3,40,0.0,N/A,4,N/A,10.9,3.7/0.0,0.0,0.0
128,Najee Harris,RB,KC,5,129,no change,6.5,39,4.0,7,2,N/A,6.5,1.5/0.0,0.0,0.0
129,Demario Douglas,WR,N/A,5,186,no change,7.5,42,0.0,N/A,4,N/A,10.8,3.9/0.0,0.0,0.0
130,Dont'e Thornton Jr.,WR,@NE,5,191,no change,6.0,35,0.0,N/A,3,N/A,12.4,2.8/0.0,0.0,0.0
131,Tre Harris,WR,N/A,5,141.6,no change,2.2,13,0.0,N/A,1,N/A,11.6,1.1/0.0,0.0,0.0
