Rank,Player Name,Pos,Opp,$,AVG ADP,Trend,Points,YDS,YPC,Rush,REC,TD,YPR,Rec/Tar Game,QB Att/Game,QB YPC
212,Terrance Ferguson,TE,HOU,1,0,down,1.7,9,0.0,N/A,1,N/A,9.4,0.9/0.0,0.0,0.0
213,Quentin Johnston,WR,KC,1,209,down,4.3,24,0.0,N/A,2,N/A,12.0,2.0/0.0,0.0,0.0
214,Tommy Tremble,TE,@JAX,1,0,down,1.6,9,0.0,N/A,1,N/A,10.0,0.9/0.0,0.0,0.0
215,Kenneth Gainwell,RB,@NYJ,1,0,down,2.3,16,4.0,3,1,N/A,6.7,0.6/0.0,0.0,0.0
216,Brandin Cooks,WR,ARI,1,0,down,4.7,28,0.0,N/A,3,N/A,11.0,2.5/0.0,0.0,0.0
217,Parker Washington,WR,CAR,1,0,down,2.3,13,0.0,N/A,1,N/A,11.0,1.2/0.0,0.0,0.0
218,Michael Mayer,TE,@NE,1,0,down,3.5,19,0.0,N/A,2,N/A,10.1,1.9/0.0,0.0,0.0
219,Elijah Moore,WR,BAL,1,0,down,2.2,12,0.0,N/A,1,N/A,10.7,1.1/0.0,0.0,0.0
220,Emanuel Wilson,RB,DET,1,0,down,3.3,22,4.0,4,1,N/A,6.4,0.8/0.0,0.0,0.0
221,Van Jefferson,WR,@DEN,1,0,down,3.2,18,0.0,N/A,2,N/A,11.8,1.5/0.0,0.0,0.0
222,DJ Giddens,RB,MIA,1,257,down,3.6,20,4.1,3,1,N/A,6.3,0.9/0.0,0.0,0.0
223,Sean Tucker,RB,@ATL,1,269,down,2.4,15,4.1,3,N/A,N/A,6.7,0.3/0.0,0.0,0.0
224,Devaughn Vele,WR,ARI,1,0,down,3.7,21,0.0,N/A,2,N/A,10.7,2.0/0.0,0.0,0.0
225,Tyquan Thornton,WR,@LAC,1,0,down,3.8,22,0.0,N/A,2,N/A,12.2,1.8/0.0,0.0,0.0
226,Noah Fant,TE,@CLE,1,0,down,3.9,22,0.0,N/A,2,N/A,10.6,2.1/0.0,0.0,0.0
227,Kyle Monangai,RB,MIN,1,226,down,4.8,26,3.9,5,1,N/A,5.8,0.8/0.0,0.0,0.0
228,Kyle Juszczyk,RB,@SEA,1,0,down,0.0,11,4.3,1,1,N/A,7.7,1.0/0.0,0.0,0.0
229,Curtis Samuel,WR,BAL,1,0,down,0.8,5,0.0,N/A,1,N/A,9.4,0.5/0.0,0.0,0.0
230,Kendre Miller,RB,ARI,1,234,down,3.3,21,4.1,4,1,N/A,5.7,0.9/0.0,0.0,0.0
231,Isaac Guerendo,RB,@SEA,1,214,down,2.7,16,4.1,3,1,N/A,6.7,0.6/0.0,0.0,0.0
232,Jamari Thrash,WR,CIN,1,0,down,4.8,28,0.0,N/A,3,N/A,11.2,2.5/0.0,0.0,0.0
233,Jaleel McLaughlin,RB,TEN,1,244,down,2.0,12,4.0,2,1,N/A,5.0,0.6/0.0,0.0,0.0
234,Dawson Knox,TE,BAL,1,0,down,2.4,13,0.0,N/A,1,N/A,11.5,1.1/0.0,0.0,0.0
235,Jarquez Hunter,RB,HOU,1,277,down,2.4,17,4.5,3,1,N/A,8.0,0.5/0.0,0.0,0.0
236,Jaylin Lane,WR,NYG,1,0,down,1.6,9,0.0,N/A,1,N/A,11.4,0.8/0.0,0.0,0.0
237,Julian Hill,TE,@IND,1,0,down,1.1,6,0.0,N/A,1,N/A,9.7,0.6/0.0,0.0,0.0
238,Gunnar Helm,TE,@DEN,1,0,down,1.5,8,0.0,N/A,1,N/A,9.5,0.8/0.0,0.0,0.0
239,Luke Schoonmaker,TE,@PHI,1,0,down,2.3,12,0.0,N/A,1,N/A,10.2,1.2/0.0,0.0,0.0
240,Jeremy Ruckert,TE,PIT,1,0,down,1.6,9,0.0,N/A,1,N/A,8.8,1.0/0.0,0.0,0.0
241,Tim Patrick,WR,CAR,1,0,down,0.0,288,0.0,N/A,23,2,12.5,1.4/2.1,0.0,0.0
242,Josh Oliver,TE,@CHI,1,0,no change,1.7,9,0.0,N/A,1,N/A,9.2,1.0/0.0,0.0,0.0
243,Brashard Smith,RB,@LAC,1,251,no change,2.3,13,4.2,1,1,N/A,7.9,1.0/0.0,0.0,0.0
244,Colby Parkinson,TE,HOU,1,0,no change,1.6,9,0.0,N/A,1,N/A,9.6,0.9/0.0,0.0,0.0
245,Antonio Gibson,RB,LV,1,0,no change,1.7,9,4.1,2,1,N/A,6.4,0.5/0.0,0.0,0.0
246,AJ Dillon,RB,N/A,1,241.3,no change,3.1,19,4.1,4,1,N/A,5.7,0.7/0.0,0.0,0.0
247,Savion Williams,WR,DET,1,0,no change,0.8,5,0.0,N/A,N/A,N/A,11.3,0.4/0.0,0.0,0.0
248,Roschon Johnson,RB,MIN,1,249,no change,1.7,8,4.5,1,1,N/A,6.0,0.5/0.0,0.0,0.0
249,Jordan Watkins,WR,@SEA,1,0,no change,0.9,5,0.0,N/A,1,N/A,10.0,0.5/0.0,0.0,0.0
250,Raheim Sanders,RB,CIN,1,0,no change,2.5,17,4.1,4,N/A,N/A,5.0,0.4/0.0,0.0,0.0
251,Chris Brooks,RB,DET,1,0,no change,1.7,11,3.9,2,N/A,N/A,5.5,0.4/0.0,0.0,0.0
252,Arian Smith,WR,PIT,1,0,no change,1.5,9,0.0,N/A,1,N/A,10.9,0.8/0.0,0.0,0.0
253,Isaiah Davis,RB,PIT,1,0,no change,2.6,17,3.9,3,1,N/A,6.8,0.8/0.0,0.0,0.0
254,Dare Ogunbowale,RB,@LAR,1,0,no change,2.4,14,3.8,1,1,N/A,7.0,1.3/0.0,0.0,0.0
255,Trevor Etienne,RB,@JAX,1,0,no change,2.7,17,4.1,3,1,N/A,6.4,0.7/0.0,0.0,0.0
256,Jeremy McNichols,RB,N/A,1,0,no change,0.0,145,4.1,31,3,1,5.9,0.2/0.2,0.0,0.0
257,Tahj Brooks,RB,@CLE,1,271,no change,4.3,28,4.1,5,1,N/A,7.6,1.0/0.0,0.0,0.0
258,Jahan Dotson,WR,DAL,1,0,no change,2.0,12,0.0,N/A,1,N/A,11.6,1.0/0.0,0.0,0.0
259,Kalel Mullings,RB,@DEN,1,0,rising,2.5,16,4.0,3,1,N/A,6.6,0.5/0.0,0.0,0.0
260,Tyler Goodson,RB,MIA,1,0,rising,1.0,6,4.3,1,N/A,N/A,5.0,0.2/0.0,0.0,0.0
261,Emari Demercado,RB,@NO,1,0,rising,2.1,13,4.3,2,1,N/A,6.2,1.0/0.0,0.0,0.0
262,Hunter Luepke,RB,@PHI,1,0,rising,0.0,8,4.0,1,1,N/A,6.7,0.6/0.0,0.0,0.0
263,Devin Neal,RB,ARI,1,0,rising,1.0,6,4.0,1,N/A,N/A,5.0,0.4/0.0,0.0,0.0
264,Jordan James,RB,@SEA,1,0,rising,0.0,96,4.0,17,4,1,7.0,0.2/0.3,0.0,0.0
265,Tyler Badie,RB,TEN,1,0,rising,0.5,3,4.0,1,N/A,N/A,10.0,0.1/0.0,0.0,0.0
266,Tai Felton,WR,@CHI,1,0,rising,1.5,9,0.0,N/A,1,N/A,10.6,0.8/0.0,0.0,0.0
267,Zamir White,RB,@NE,1,0,rising,1.1,7,3.9,2,N/A,N/A,10.0,0.1/0.0,0.0,0.0
268,LeQuint Allen Jr.,RB,CAR,1,0,rising,0.0,94,3.9,17,4,N/A,6.9,0.2/0.3,0.0,0.0
269,Mason Tipton,WR,ARI,1,0,rising,0.0,93,0.0,N/A,5,N/A,18.4,0.3/0.5,0.0,0.0
270,Casey Washington,WR,TB,1,0,rising,0.0,95,0.0,N/A,9,1,10.6,0.5/0.9,0.0,0.0
271,Mack Hollins,WR,LV,1,0,rising,1.0,5,0.0,N/A,1,N/A,9.8,0.5/0.0,0.0,0.0
272,Ty Chandler,RB,@CHI,1,0,rising,1.0,7,4.0,2,N/A,N/A,6.5,0.2/0.0,0.0,0.0
273,Craig Reynolds,RB,@GB,1,0,rising,0.9,5,4.4,1,N/A,N/A,5.0,0.2/0.0,0.0,0.0
274,Scotty Miller,WR,@NYJ,1,0,rising,1.4,8,0.0,N/A,1,N/A,9.6,0.8/0.0,0.0,0.0
275,John Metchie III,WR,DAL,1,0,rising,1.3,7,0.0,N/A,1,N/A,10.6,0.7/0.0,0.0,0.0
276,Xavier Gipson,WR,N/A,1,0,rising,0.0,182,0.0,N/A,19,1,9.5,1.1/1.9,0.0,0.0
277,Trey Palmer,WR,ARI,1,0,rising,0.0,137,0.0,N/A,11,N/A,12.4,0.7/1.1,0.0,0.0
278,Kimani Vidal,RB,KC,1,0,rising,0.0,7,4.3,1,1,N/A,6.2,0.6/0.0,0.0,0.0
279,Luke McCaffrey,WR,NYG,1,0,rising,1.0,6,0.0,N/A,1,N/A,11.6,0.5/0.0,0.0,0.0
280,Jake Bobo,WR,SF,1,0,rising,0.6,4,0.0,N/A,N/A,N/A,11.7,0.3/0.0,0.0,0.0
281,Jermaine Burton,WR,@CLE,1,0,rising,1.6,10,0.0,N/A,1,N/A,14.0,0.7/0.0,0.0,0.0
282,Ryan Miller,WR,@ATL,1,0,rising,2.2,12,0.0,N/A,1,N/A,10.7,1.1/0.0,0.0,0.0
283,Xavier Restrepo,WR,N/A,1,0,rising,0.0,176,3.0,2,13,1,13.0,0.8/1.4,0.0,0.0
284,Jonathan Mingo,WR,N/A,1,0,rising,0.0,3,0.0,N/A,N/A,N/A,11.0,0.3/0.0,0.0,0.0
285,Jalin Hyatt,WR,@WAS,1,0,rising,1.0,6,0.0,N/A,1,N/A,12.0,0.5/0.0,0.0,0.0
286,Russell Gage,WR,N/A,1,596,rising,0.0,5,0.0,N/A,1,N/A,10.0,0.5/0.0,0.0,0.0
287,David Moore,WR,@JAX,1,0,rising,2.6,15,0.0,N/A,1,N/A,12.2,1.2/0.0,0.0,0.0
288,Devontez Walker,WR,@BUF,1,0,rising,0.5,3,0.0,N/A,N/A,N/A,16.5,0.2/0.0,0.0,0.0
289,Justin Watson,WR,@LAR,1,0,rising,0.0,5,0.0,N/A,N/A,N/A,16.7,0.3/0.0,0.0,0.0
290,Darnell Washington,TE,@NYJ,1,0,rising,0.7,4,0.0,N/A,N/A,N/A,9.0,0.4/0.0,0.0,0.0
291,Ben Sinnott,TE,NYG,1,0,rising,1.6,8,0.0,N/A,1,N/A,10.0,0.8/0.0,0.0,0.0
292,Luke Musgrave,TE,DET,1,0,rising,2.1,12,0.0,N/A,1,N/A,10.5,1.1/0.0,0.0,0.0
293,Grant Calcaterra,TE,DAL,1,0,rising,1.1,6,0.0,N/A,1,N/A,9.8,0.6/0.0,0.0,0.0
294,Gabe Davis,WR,N/A,1,0,rising,0.0,402,0.0,N/A,32,3,12.4,1.9/3.5,0.0,0.0
295,Adam Trautman,TE,TEN,1,0,rising,1.3,7,0.0,N/A,1,N/A,9.6,0.7/0.0,0.0,0.0
296,Elijah Higgins,TE,@NO,1,0,rising,2.1,10,0.0,N/A,1,N/A,9.4,1.1/0.0,0.0,0.0
297,Tanner Hudson,TE,@CLE,1,0,rising,0.0,10,0.0,N/A,1,N/A,9.3,1.1/0.0,0.0,0.0
298,Hunter Long,TE,CAR,1,0,rising,0.0,6,0.0,N/A,1,N/A,11.2,0.5/0.0,0.0,0.0
299,Charlie Woerner,TE,TB,1,0,rising,1.1,6,0.0,N/A,1,N/A,9.0,0.7/0.0,0.0,0.0
300,Johnny Mundt,TE,CAR,1,0,rising,0.0,3,0.0,N/A,N/A,N/A,10.3,0.3/0.0,0.0,0.0
301,Payne Durham,TE,@ATL,1,0,rising,0.0,6,0.0,N/A,1,N/A,11.0,0.5/0.0,0.0,0.0
302,Mitchell Evans,TE,@JAX,1,0,rising,0.7,4,0.0,N/A,N/A,N/A,10.0,0.4/0.0,0.0,0.0
303,Brock Wright,TE,@GB,1,0,rising,1.0,5,0.0,N/A,1,N/A,9.2,0.5/0.0,0.0,0.0
304,Tip Reiman,TE,@NO,1,0,rising,0.0,100,0.0,N/A,10,1,10.0,0.6/0.8,0.0,0.0
305,Drew Sample,TE,@CLE,1,0,rising,0.0,9,0.0,N/A,1,N/A,8.7,1.0/0.0,0.0,0.0
306,John Bates,TE,NYG,1,0,rising,0.0,5,0.0,N/A,1,N/A,9.2,0.5/0.0,0.0,0.0
307,Lucas Krull,TE,N/A,1,0,rising,1.5,8,0.0,N/A,1,N/A,9.8,0.8/0.0,0.0,0.0
308,Stone Smartt,TE,PIT,1,0,rising,0.0,17,0.0,N/A,2,N/A,10.9,1.6/0.0,0.0,0.0
309,Luke Farrell,TE,@SEA,1,0,rising,0.8,5,0.0,N/A,1,N/A,9.4,0.5/0.0,0.0,0.0
310,Harrison Bryant,TE,N/A,1,0,rising,0.0,80,0.0,N/A,8,1,10.0,0.5/0.7,0.0,0.0
311,Tanner Conner,TE,@IND,1,0,no change,5.1,30,0.0,N/A,2,N/A,12.9,2.3/0.0,0.0,0.0
312,Eric Saubert,TE,SF,1,0,no change,0.0,3,0.0,N/A,N/A,N/A,9.7,0.3/0.0,0.0,0.0
313,Brevyn Spann-Ford,TE,@PHI,1,0,no change,0.0,12,0.0,N/A,1,N/A,10.6,1.1/0.0,0.0,0.0
314,Drew Ogletree,TE,MIA,1,0,no change,0.7,4,0.0,N/A,N/A,N/A,9.5,0.4/0.0,0.0,0.0
315,Kylen Granson,TE,N/A,1,0,no change,0.0,17,0.0,N/A,2,N/A,10.9,1.6/0.0,0.0,0.0
316,Daniel Bellinger,TE,@WAS,1,0,no change,1.4,8,0.0,N/A,1,N/A,8.7,0.9/0.0,0.0,0.0
317,Mo Alie-Cox,TE,MIA,1,0,no change,0.7,4,0.0,N/A,N/A,N/A,9.5,0.4/0.0,0.0,0.0
318,Jack Stoll,TE,ARI,1,0,no change,0.0,11,0.0,N/A,1,N/A,9.4,1.2/0.0,0.0,0.0
319,Devin Culp,TE,@ATL,1,0,no change,0.8,4,0.0,N/A,N/A,N/A,11.0,0.4/0.0,0.0,0.0
320,Josh Allen,QB,BAL,1,23,no change,23.2,280,5.0,8,N/A,2,0.0,N/A,32.1,11.0
321,Lamar Jackson,QB,@BUF,1,24,no change,24.2,310,6.2,8,N/A,2,0.0,N/A,30.1,12.3
322,Jalen Hurts,QB,DAL,1,34,no change,22.9,287,4.8,9,N/A,2,0.0,N/A,28.6,11.8
323,Jayden Daniels,QB,NYG,1,30,no change,23.1,305,5.2,10,N/A,2,0.0,N/A,32.6,11.2
324,Joe Burrow,QB,@CLE,1,40,no change,20.5,306,3.7,4,N/A,2,0.0,N/A,36.3,11.3
325,Bo Nix,QB,TEN,1,72,no change,20.0,276,4.9,6,N/A,2,0.0,N/A,34.2,10.6
326,Baker Mayfield,QB,@ATL,1,70,no change,20.6,294,5.3,4,N/A,2,0.0,N/A,34.7,11.4
327,Patrick Mahomes,QB,@LAC,1,51,no change,20.7,306,5.2,4,N/A,2,0.0,N/A,36.0,10.8
328,Kyler Murray,QB,@NO,1,87,no change,18.9,279,5.9,6,N/A,2,0.0,N/A,33.0,10.7
329,Justin Fields,QB,PIT,1,110,no change,18.9,249,5.2,10,N/A,2,0.0,N/A,29.2,10.1
330,Trevor Lawrence,QB,CAR,1,167,no change,18.9,291,4.4,5,N/A,2,0.0,N/A,34.1,11.5
331,Brock Purdy,QB,@SEA,1,96,no change,20.2,296,4.9,5,N/A,2,0.0,N/A,33.2,11.5
332,Drake Maye,QB,LV,1,123,no change,19.3,288,5.7,6,N/A,2,0.0,N/A,34.3,10.6
333,Jordan Love,QB,DET,1,135,no change,17.2,271,3.4,3,N/A,2,0.0,N/A,33.5,11.7
334,Jared Goff,QB,@GB,1,108,no change,17.2,273,2.9,2,N/A,2,0.0,N/A,34.0,11.3
335,C.J. Stroud,QB,@LAR,1,141,no change,17.8,287,4.3,4,N/A,2,0.0,N/A,35.3,11.4
336,Caleb Williams,QB,MIN,1,128,no change,18.4,280,5.3,6,N/A,2,0.0,N/A,35.7,10.8
337,Dak Prescott,QB,@PHI,1,100,no change,17.5,273,3.4,3,N/A,2,0.0,N/A,37.4,10.6
338,Joe Flacco,QB,CIN,1,0,no change,17.2,296,1.1,2,N/A,2,0.0,N/A,39.2,10.9
339,Michael Penix Jr.,QB,TB,1,183,no change,18.0,268,2.5,3,N/A,2,0.0,N/A,32.8,11.1
340,Tua Tagovailoa,QB,@IND,1,194,no change,17.5,277,2.8,2,N/A,2,0.0,N/A,33.8,11.4
341,Justin Herbert,QB,KC,1,116,no change,18.6,279,4.3,5,N/A,2,0.0,N/A,33.4,10.9
342,Daniel Jones,QB,MIA,1,233,no change,17.3,257,4.0,6,N/A,2,0.0,N/A,32.5,10.8
343,J.J. McCarthy,QB,@CHI,1,150,no change,18.4,283,3.7,5,N/A,2,0.0,N/A,34.4,11.1
344,Matthew Stafford,QB,HOU,1,188,no change,16.6,266,1.6,2,N/A,2,0.0,N/A,33.7,11.6
345,Bryce Young,QB,@JAX,1,192,no change,17.8,272,5.1,5,N/A,2,0.0,N/A,33.2,10.9
346,Geno Smith,QB,@NE,1,263,no change,16.2,264,4.3,3,N/A,2,0.0,N/A,33.8,10.4
347,Sam Darnold,QB,SF,1,270,no change,16.5,256,4.0,4,N/A,2,0.0,N/A,33.5,10.8
348,Russell Wilson,QB,@WAS,1,274,no change,16.8,263,3.9,4,N/A,2,0.0,N/A,33.2,11.0
349,Cam Ward,QB,N/A,1,197,no change,14.2,239,3.1,4,N/A,1,0.0,N/A,33.9,10.3
350,Spencer Rattler,QB,ARI,1,0,no change,15.0,267,4.8,4,N/A,1,0.0,N/A,36.6,10.2
351,Aaron Rodgers,QB,@NYJ,1,272,no change,14.9,243,3.4,3,N/A,1,0.0,N/A,30.6,10.9
352,Denver Broncos,DST,N/A,1,107,no change,9.7,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
353,Pittsburgh Steelers,DST,N/A,1,136,no change,8.4,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
354,Arizona Cardinals,DST,N/A,1,198,no change,9.7,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
355,Minnesota Vikings,DST,N/A,1,155,no change,8.1,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
356,Philadelphia Eagles,DST,N/A,1,113,no change,7.8,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
357,San Francisco 49ers,DST,N/A,1,162,no change,7.0,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
358,Los Angeles Rams,DST,N/A,1,210,no change,7.0,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
359,New York Jets,DST,N/A,1,241,no change,6.1,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
360,Washington Commanders,DST,N/A,1,242,no change,6.9,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
361,Cincinnati Bengals,DST,N/A,1,185,no change,6.5,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
362,New England Patriots,DST,N/A,1,246,no change,7.0,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
363,Miami Dolphins,DST,N/A,1,267,no change,7.3,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
364,Kansas City Chiefs,DST,N/A,1,178,no change,7.3,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
365,Houston Texans,DST,N/A,1,158,no change,4.8,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
366,Chicago Bears,DST,N/A,1,193,no change,7.1,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
367,Las Vegas Raiders,DST,N/A,1,0,no change,7.6,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
368,Green Bay Packers,DST,N/A,1,174,no change,6.3,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
369,Tampa Bay Buccaneers,DST,N/A,1,206,no change,6.7,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
370,Detroit Lions,DST,N/A,1,169,no change,5.7,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
371,Indianapolis Colts,DST,N/A,1,0,no change,6.0,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
372,Jacksonville Jaguars,DST,N/A,1,0,no change,6.9,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
373,Seattle Seahawks,DST,N/A,1,231,no change,6.1,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
374,Carolina Panthers,DST,N/A,1,0,no change,5.4,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
375,New York Giants,DST,N/A,1,237,no change,5.4,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
376,Cleveland Browns,DST,N/A,1,213,no change,5.0,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
377,New Orleans Saints,DST,N/A,1,0,no change,5.1,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
378,Atlanta Falcons,DST,N/A,1,0,no change,6.8,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
379,Los Angeles Chargers,DST,N/A,1,229,no change,5.1,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
380,Buffalo Bills,DST,N/A,1,143,no change,4.5,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
381,Baltimore Ravens,DST,N/A,1,133,no change,4.0,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
382,Tennessee Titans,DST,N/A,1,0,no change,4.5,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
383,Dallas Cowboys,DST,N/A,1,232,no change,4.0,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
384,Brandon Aubrey,K,@PHI,1,111,no change,8.7,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
385,Evan McPherson,K,@CLE,1,189,no change,8.5,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
386,Ka'imi Fairbairn,K,@LAR,0,156,no change,7.9,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
387,Harrison Butker,K,@LAC,0,187,no change,8.7,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
388,Cameron Dicker,K,KC,0,138,no change,8.1,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
389,Chase McLaughlin,K,@ATL,0,159,no change,8.6,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
390,Jake Bates,K,@GB,0,134,no change,8.7,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
391,Tyler Loop,K,@BUF,0,216,no change,8.9,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
392,Cam Little,K,CAR,0,180,no change,8.6,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
393,Wil Lutz,K,TEN,0,172,no change,8.0,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
394,Joshua Karty,K,HOU,0,280,no change,8.2,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
395,Will Reichard,K,@CHI,0,261,no change,8.0,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
396,Jake Elliott,K,DAL,0,173,no change,8.7,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
397,Matt Gay,K,NYG,0,236,rising,8.5,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
398,Younghoe Koo,K,TB,0,225,rising,8.4,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
399,Chad Ryland,K,@NO,0,0,rising,8.1,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
400,Matt Prater,K,N/A,0,0,no change,8.1,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
401,Brandon McManus,K,DET,0,255,no change,8.2,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
402,Cairo Santos,K,MIN,0,0,no change,7.6,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
403,Chris Boswell,K,@NYJ,0,130,no change,8.1,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
404,Jake Moody,K,@SEA,0,259,no change,7.9,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
405,Jason Myers,K,SF,0,230,no change,7.7,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
406,Riley Patterson,K,N/A,0,0,no change,0.0,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
407,Daniel Carlson,K,@NE,0,220,no change,6.8,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
408,Ryan Fitzgerald,K,@JAX,0,0,no change,7.7,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
409,Spencer Shrader,K,MIA,0,0,no change,7.8,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
410,Andy Borregales,K,LV,0,0,no change,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
411,Joey Slye,K,@DEN,0,0,no change,6.9,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
412,Graham Gano,K,@WAS,0,0,no change,7.1,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
413,Blake Grupe,K,ARI,0,0,no change,6.6,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
414,Nick Folk,K,PIT,0,0,no change,6.8,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
415,Andre Szmyt,K,CIN,0,0,no change,6.9,N/A,0.0,N/A,N/A,N/A,0.0,N/A,0.0,0.0
